TCGA-DD-A11D-01A-11R-A131-07	TCGA-DD-AACT-01A-11R-A41C-07	TCGA-G3-AAUZ-01A-11R-A38B-07	TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000000003	48.2278307076217	34.1879278820679	26.2289998562649	47.8641356127975
ENSG00000000005	0.243064104709826	0.0668421489224226	0.104435310870914	0.0255013157227123
ENSG00000000419	35.8822076093251	68.5331228724661	22.8447669924638	33.6462734238607
ENSG00000000457	6.46936655878642	8.3679249304272	2.22664047254718	2.73642261060387
ENSG00000000460	1.77491213775048	4.31580800355821	1.01681543967352	1.14474264429298
ENSG00000000938	1.72928220043738	4.49311994312055	1.91302732389022	5.56800530595703
ENSG00000000971	632.369398322832	1123.65878178673	140.873241866734	301.938991718861
ENSG00000001036	67.4478903980486	89.0837604922349	17.0544872160165	58.639972432713
ENSG00000001084	37.5780261316267	54.1281866931098	22.4324107968391	51.4387955697814
ENSG00000001167	7.38717799314052	10.3099498351423	4.1341329366378	5.03547601811179
ENSG00000001460	0.892642419781672	2.21671276157936	1.16222474448266	0.550563063499509
ENSG00000001461	2.74633391252484	3.59247586746346	2.54283436693973	2.4296737974015
ENSG00000001497	14.7568163966808	9.23388651059088	12.3763902591101	8.47588284044258
ENSG00000001561	26.1888768974987	14.0477736631263	1.92425035484709	3.47996733407555
ENSG00000001617	13.8034935134906	13.3946427366264	4.65884401870405	3.00867903397119
ENSG00000001626	0.0796141967236929	0.0437874938391017	0.243250934996571	0.774026481348164
ENSG00000001629	9.00495349313211	7.2560939387785	2.37625682121403	3.61621321637007
ENSG00000001630	18.1488622059052	4.18231950500579	1.75706174787067	5.79741827265667
ENSG00000001631	8.8336983577666	7.27365259902498	1.64447235412528	4.41707207888922
ENSG00000002016	3.1383093724791	3.0087245412869	1.63293810384044	1.17204083156866
ENSG00000002079	0.0129275038213559	0.0142201521142555	0.0518415511488759	0
ENSG00000002330	51.4777001087136	59.9513993003639	127.107943060549	50.673406594128
ENSG00000002549	92.2120191149789	80.8871553611603	52.510668921764	121.618090887878
ENSG00000002586	289.060667578546	135.294844658801	274.248943829003	208.85444437502
ENSG00000002587	0.111445996708723	0.390058188176981	0.226361033038227	0.127554209012745
ENSG00000002726	4.4381295846335	0.0285491666370411	0.0594742716666257	5.13010822504857
ENSG00000002745	0.103420030570847	0.0284403042285109	0.0148118717568217	0.0108504168264098
ENSG00000002746	0.0256917300447156	0.0659416337069642	0.00981222195952381	0.0287517202422581
ENSG00000002822	48.3950506194656	15.769763595304	62.3532111786326	18.2547216792331
ENSG00000002834	201.523198106176	112.329020225977	55.495400917101	56.5254009350074
ENSG00000002919	12.7422332506736	10.8070034190819	18.5906062409083	10.2576219901121
